Id,UserId,Name,Date
1,5,Teacher,2010-07-19T19:39:07.047
2,6,Teacher,2010-07-19T19:39:07.220
3,8,Teacher,2010-07-19T19:39:07.330
4,23,Teacher,2010-07-19T19:39:07.437
5,36,Teacher,2010-07-19T19:39:07.593
6,37,Teacher,2010-07-19T19:39:07.687
7,50,Teacher,2010-07-19T19:39:07.720
8,55,Teacher,2010-07-19T19:39:07.780
9,5,Student,2010-07-19T19:39:07.890
10,8,Student,2010-07-19T19:39:07.937
11,13,Student,19/07/2010 19:39
12,18,Student,2010-07-19T19:39:08.030
13,23,Student,2010-07-19T19:39:08.093
14,24,Student,2010-07-19T19:39:08.187
16,59,Student,2010-07-19T19:39:08.390
17,66,Student,2010-07-19T19:39:08.547
18,69,Student,2010-07-19T19:39:08.623
19,75,Student,2010-07-19T19:39:08.670
20,13,Editor,2010-07-19T19:39:08.797
21,23,Editor,2010-07-19T19:39:08.857
22,6,Organizer,2010-07-19T19:39:08.920
23,60,Organizer,2010-07-19T19:39:08.937
24,80,Organizer,2010-07-19T19:39:08.997
25,6,Supporter,2010-07-19T19:39:09.090
26,22,Supporter,2010-07-19T19:39:09.090
27,23,Supporter,2010-07-19T19:39:09.107
28,24,Supporter,2010-07-19T19:39:09.107
29,41,Supporter,2010-07-19T19:39:09.107
31,50,Supporter,2010-07-19T19:39:09.123
32,55,Supporter,2010-07-19T19:39:09.123
33,57,Supporter,2010-07-19T19:39:09.123
34,59,Supporter,2010-07-19T19:39:09.123
35,62,Supporter,2010-07-19T19:39:09.140
37,64,Supporter,2010-07-19T19:39:09.140
38,66,Supporter,2010-07-19T19:39:09.140
39,69,Supporter,2010-07-19T19:39:09.153
40,71,Supporter,2010-07-19T19:39:09.153
41,76,Supporter,2010-07-19T19:39:09.153
42,77,Supporter,2010-07-19T19:39:09.153
43,78,Supporter,2010-07-19T19:39:09.153
44,80,Supporter,2010-07-19T19:39:09.170
45,81,Supporter,2010-07-19T19:39:09.170
46,88,Supporter,2010-07-19T19:39:09.170
47,23,Critic,2010-07-19T19:39:09.200
48,60,Critic,2010-07-19T19:39:09.217
49,61,Critic,2010-07-19T19:39:09.247
50,74,Critic,2010-07-19T19:39:09.280
51,2,Autobiographer,2010-07-19T19:39:09.420
52,3,Autobiographer,2010-07-19T19:39:09.467
53,7,Autobiographer,2010-07-19T19:39:09.497
54,8,Autobiographer,2010-07-19T19:39:09.560
55,10,Autobiographer,2010-07-19T19:39:09.607
56,11,Autobiographer,2010-07-19T19:39:09.623
57,12,Autobiographer,2010-07-19T19:39:09.623
58,13,Autobiographer,2010-07-19T19:39:09.670
60,18,Autobiographer,2010-07-19T19:39:09.810
61,19,Autobiographer,2010-07-19T19:39:09.857
62,27,Autobiographer,2010-07-19T19:39:09.903
63,29,Autobiographer,2010-07-19T19:39:09.980
64,38,Autobiographer,2010-07-19T19:39:10.027
65,39,Autobiographer,2010-07-19T19:39:10.043
66,40,Autobiographer,2010-07-19T19:39:10.120
67,41,Autobiographer,2010-07-19T19:39:10.167
69,46,Autobiographer,2010-07-19T19:39:10.200
70,50,Autobiographer,2010-07-19T19:39:10.230
71,53,Autobiographer,2010-07-19T19:39:10.247
72,54,Autobiographer,2010-07-19T19:39:10.277
73,55,Autobiographer,2010-07-19T19:39:10.323
74,57,Autobiographer,2010-07-19T19:39:10.323
75,59,Autobiographer,2010-07-19T19:39:10.323
76,60,Autobiographer,2010-07-19T19:39:10.323
77,62,Autobiographer,2010-07-19T19:39:10.340
78,64,Autobiographer,2010-07-19T19:39:10.340
79,65,Autobiographer,2010-07-19T19:39:10.340
80,66,Autobiographer,2010-07-19T19:39:10.357
81,69,Autobiographer,2010-07-19T19:39:10.370
82,71,Autobiographer,2010-07-19T19:39:10.387
83,74,Autobiographer,2010-07-19T19:39:10.387
84,75,Autobiographer,2010-07-19T19:39:10.417
85,76,Autobiographer,2010-07-19T19:39:10.450
86,78,Autobiographer,2010-07-19T19:39:10.480
87,80,Autobiographer,2010-07-19T19:39:10.497
88,84,Autobiographer,2010-07-19T19:39:10.527
89,85,Autobiographer,2010-07-19T19:39:10.590
90,88,Autobiographer,2010-07-19T19:39:10.637
91,23,Nice Answer,2010-07-19T19:39:10.870
93,22,Student,2010-07-19T19:44:07.037
94,62,Student,2010-07-19T19:44:07.113
95,8,Supporter,2010-07-19T19:44:07.270
96,36,Supporter,2010-07-19T19:44:07.300
97,55,Critic,2010-07-19T19:44:07.347
98,36,Autobiographer,2010-07-19T19:44:07.363
99,94,Autobiographer,2010-07-19T19:44:07.380
100,39,Teacher,2010-07-19T19:49:06.853
101,41,Teacher,2010-07-19T19:49:06.947
102,56,Teacher,2010-07-19T19:49:06.993
103,87,Teacher,2010-07-19T19:49:07.010
104,17,Student,2010-07-19T19:49:07.057
105,68,Student,2010-07-19T19:49:07.087
106,69,Editor,2010-07-19T19:49:07.133
107,87,Supporter,2010-07-19T19:49:07.180
108,94,Supporter,2010-07-19T19:49:07.197
109,101,Supporter,2010-07-19T19:49:07.210
110,6,Autobiographer,2010-07-19T19:49:07.243
112,39,Editor,2010-07-19T19:54:06.840
113,17,Supporter,2010-07-19T19:54:06.967
114,74,Teacher,2010-07-19T19:59:06.860
115,83,Teacher,19/07/2010 19:59
116,96,Teacher,2010-07-19T19:59:07.017
117,93,Supporter,2010-07-19T19:59:07.093
118,103,Supporter,2010-07-19T19:59:07.110
119,104,Supporter,2010-07-19T19:59:07.157
120,25,Critic,2010-07-19T19:59:07.170
121,36,Critic,2010-07-19T19:59:07.170
122,107,Critic,2010-07-19T19:59:07.187
123,25,Teacher,2010-07-19T20:04:06.817
124,74,Editor,2010-07-19T20:04:06.927
125,102,Supporter,2010-07-19T20:04:06.957
126,93,Teacher,2010-07-19T20:09:06.960
127,22,Editor,2010-07-19T20:09:07.087
128,74,Supporter,2010-07-19T20:09:07.117
129,69,Teacher,2010-07-19T20:14:06.777
130,72,Teacher,2010-07-19T20:14:07.713
131,5,Editor,2010-07-19T20:14:07.853
132,33,Supporter,2010-07-19T20:14:07.930
133,60,Supporter,2010-07-19T20:14:07.963
134,13,Critic,2010-07-19T20:14:08.087
135,103,Critic,2010-07-19T20:14:08.167
136,111,Autobiographer,2010-07-19T20:14:08.320
137,113,Autobiographer,2010-07-19T20:14:08.383
138,22,Teacher,2010-07-19T20:19:06.780
139,5,Supporter,2010-07-19T20:19:06.937
140,13,Supporter,2010-07-19T20:19:06.937
141,116,Supporter,2010-07-19T20:19:06.953
142,117,Autobiographer,2010-07-19T20:19:06.983
143,88,Teacher,2010-07-19T20:24:06.783
144,8,Editor,2010-07-19T20:24:06.970
145,117,Supporter,2010-07-19T20:24:07.173
146,120,Supporter,2010-07-19T20:24:07.207
147,119,Autobiographer,2010-07-19T20:24:07.220
148,114,Student,2010-07-19T20:29:06.757
149,29,Supporter,2010-07-19T20:29:06.880
150,121,Supporter,2010-07-19T20:29:06.880
151,55,Student,2010-07-19T20:34:06.743
152,57,Student,2010-07-19T20:34:06.837
153,117,Student,2010-07-19T20:34:06.870
154,25,Supporter,2010-07-19T20:34:06.900
155,61,Supporter,2010-07-19T20:34:06.917
156,46,Teacher,2010-07-19T20:39:06.840
157,69,Organizer,2010-07-19T20:39:06.997
158,16,Supporter,2010-07-19T20:39:07.030
159,46,Supporter,2010-07-19T20:39:07.043
160,46,Critic,2010-07-19T20:39:07.043
161,69,Critic,2010-07-19T20:39:07.043
162,122,Autobiographer,2010-07-19T20:39:07.060
163,123,Autobiographer,2010-07-19T20:44:06.783
164,58,Supporter,2010-07-19T20:49:06.693
165,58,Scholar,2010-07-19T20:49:06.710
166,124,Organizer,2010-07-19T20:54:06.727
167,12,Supporter,2010-07-19T20:54:06.867
168,114,Supporter,2010-07-19T20:54:06.883
169,127,Supporter,2010-07-19T20:54:06.900
170,126,Autobiographer,2010-07-19T20:54:06.913
171,127,Autobiographer,2010-07-19T20:54:06.930
172,39,Student,2010-07-19T20:59:06.763
173,87,Editor,2010-07-19T20:59:06.950
174,124,Supporter,2010-07-19T20:59:07.120
175,13,Commentator,2010-07-19T20:59:07.247
176,61,Teacher,2010-07-19T21:04:06.750
177,128,Supporter,2010-07-19T21:04:06.983
178,103,Autobiographer,2010-07-19T21:04:07.047
179,38,Student,2010-07-19T21:09:06.740
180,24,Organizer,2010-07-19T21:09:06.847
181,72,Supporter,2010-07-19T21:09:06.940
182,54,Critic,2010-07-19T21:09:06.973
183,83,Student,2010-07-19T21:14:06.720
184,132,Supporter,2010-07-19T21:14:06.750
185,132,Autobiographer,2010-07-19T21:14:06.767
186,117,Scholar,2010-07-19T21:14:06.780
187,130,Teacher,2010-07-19T21:19:06.707
188,130,Supporter,2010-07-19T21:19:06.847
189,130,Critic,2010-07-19T21:19:06.863
190,133,Autobiographer,2010-07-19T21:19:06.877
191,135,Supporter,2010-07-19T21:24:06.757
192,131,Student,2010-07-19T21:29:06.743
193,83,Supporter,2010-07-19T21:29:06.777
195,140,Autobiographer,2010-07-19T21:34:06.780
196,142,Student,2010-07-19T21:39:06.877
197,13,Organizer,2010-07-19T21:39:07.110
198,138,Supporter,2010-07-19T21:39:07.203
199,140,Supporter,2010-07-19T21:39:07.233
200,83,Scholar,2010-07-19T21:39:07.267
201,61,Organizer,2010-07-19T21:44:06.863
202,142,Supporter,2010-07-19T21:44:07.083
203,5,Self-Learner,2010-07-19T21:44:07.207
204,5,Commentator,2010-07-19T21:44:07.270
205,24,Editor,2010-07-19T21:49:06.913
206,22,Organizer,2010-07-19T21:54:06.840
207,90,Supporter,2010-07-19T21:54:06.963
208,90,Editor,2010-07-19T21:59:06.797
209,147,Autobiographer,2010-07-19T21:59:06.950
210,142,Teacher,2010-07-19T22:04:06.813
211,148,Supporter,2010-07-19T22:04:06.877
212,5,Mortarboard,2010-07-19T22:04:06.923
213,88,Organizer,2010-07-19T22:09:06.880
214,17,Scholar,2010-07-19T22:09:07.147
215,138,Student,2010-07-19T22:14:07.037
216,39,Supporter,2010-07-19T22:14:07.223
217,88,Critic,2010-07-19T22:34:06.943
218,153,Autobiographer,2010-07-19T22:34:06.973
219,18,Nice Question,2010-07-19T22:39:07.013
220,90,Student,2010-07-19T22:44:06.973
221,156,Autobiographer,2010-07-19T22:49:06.963
222,81,Editor,2010-07-19T22:54:06.957
223,154,Editor,2010-07-19T22:59:07.043
224,145,Supporter,2010-07-19T22:59:07.137
225,145,Teacher,2010-07-19T23:04:07.050
226,154,Student,2010-07-19T23:04:07.220
229,158,Supporter,2010-07-19T23:09:07.120
230,159,Autobiographer,2010-07-19T23:09:07.133
231,159,Supporter,2010-07-19T23:14:07.220
232,161,Autobiographer,2010-07-19T23:19:07.180
233,148,Editor,2010-07-19T23:24:07.157
234,163,Autobiographer,2010-07-19T23:29:07.113
235,131,Supporter,2010-07-19T23:34:07.137
236,159,Organizer,2010-07-19T23:44:07.193
237,164,Autobiographer,2010-07-19T23:44:07.363
238,108,Teacher,2010-07-19T23:49:07.213
239,54,Supporter,2010-07-19T23:49:07.400
240,159,Teacher,2010-07-20T00:04:07.293
241,90,Teacher,2010-07-20T00:14:07.647
242,158,Teacher,2010-07-20T00:14:07.693
244,169,Autobiographer,2010-07-20T00:29:07.587
245,166,Supporter,2010-07-20T00:34:07.557
246,119,Teacher,2010-07-20T00:49:07.710
247,74,Student,2010-07-20T00:59:07.700
248,173,Supporter,2010-07-20T00:59:07.793
249,174,Autobiographer,2010-07-20T01:14:07.790
250,175,Autobiographer,2010-07-20T01:19:07.683
251,176,Autobiographer,2010-07-20T01:19:07.950
252,24,Scholar,2010-07-20T01:24:07.640
253,177,Autobiographer,2010-07-20T01:29:07.660
254,13,Teacher,2010-07-20T01:44:07.750
255,174,Supporter,2010-07-20T01:44:07.873
256,178,Supporter,2010-07-20T01:44:07.907
257,173,Teacher,2010-07-20T01:49:07.660
258,179,Supporter,2010-07-20T01:49:07.753
260,62,Critic,2010-07-20T02:04:07.967
261,81,Teacher,2010-07-20T02:09:07.690
262,62,Editor,2010-07-20T02:14:07.707
263,181,Autobiographer,20/07/2010 02:49
264,80,Teacher,2010-07-20T02:59:08.037
265,181,Supporter,2010-07-20T02:59:08.163
266,183,Supporter,2010-07-20T02:59:08.163
267,83,Editor,2010-07-20T03:09:08.060
268,184,Supporter,2010-07-20T03:14:08.070
269,184,Autobiographer,2010-07-20T03:14:08.103
270,183,Teacher,2010-07-20T03:29:08.207
271,183,Editor,2010-07-20T03:44:08.403
272,186,Autobiographer,2010-07-20T03:44:08.590
273,174,Teacher,2010-07-20T03:54:08.400
274,175,Supporter,2010-07-20T03:54:08.527
275,188,Autobiographer,2010-07-20T03:54:08.540
276,18,Organizer,2010-07-20T03:59:08.493
277,187,Student,2010-07-20T04:09:08.563
280,23,Good Answer,2010-07-20T04:09:08.877
281,189,Autobiographer,2010-07-20T04:29:08.643
282,190,Supporter,2010-07-20T04:44:08.733
283,190,Autobiographer,2010-07-20T04:44:08.810
284,191,Autobiographer,2010-07-20T04:59:08.773
285,159,Student,2010-07-20T05:09:08.837
288,85,Supporter,2010-07-20T05:14:08.843
289,191,Student,2010-07-20T05:19:09.320
290,144,Supporter,2010-07-20T05:19:09.570
